# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#220 GHz bandwidht / band center table
#col0: channel
#col1: band center
#col2: band width
249.0 228.67 69.56
280.0 219.35 61.92
282.0 230.29 70.4
312.0 230.3 73.91
313.0 223.76 78.39
314.0 225.27 80.15
505.0 220.9 79.22
536.0 217.14 69.2
537.0 227.62 73.05
538.0 226.23 74.18
568.0 223.85 78.38
569.0 225.64 77.64
570.0 222.8 77.43
634.0 223.18 74.07
761.0 215.53 76.25
792.0 218.66 73.38
793.0 225.1 74.53
794.0 221.38 79.27
824.0 221.91 76.67
825.0 222.28 79.06
826.0 220.04 75.94
858.0 227.03 72.94
888.0 225.55 71.7
890.0 220.66 80.88
1048.0 219.88 74.85
1049.0 217.69 75.6
1080.0 218.84 76.3
1081.0 222.53 74.6
1082.0 216.74 73.99
1112.0 224.14 41.87
1144.0 223.73 82.84
1304.0 218.65 74.65
1305.0 215.41 71.5
1336.0 216.93 73.86
1337.0 219.04 76.43
1338.0 212.66 70.29
1370.0 226.28 76.28
1400.0 224.0 77.08
1402.0 220.77 75.5
1592.0 212.85 60.8
1593.0 217.53 76.36
1626.0 225.02 74.06
1656.0 225.71 72.76
1658.0 220.77 75.44
249.0 224.1 77.26
280.0 217.51 65.59
282.0 233.88 65.12
312.0 225.94 78.48
313.0 225.42 77.99
314.0 223.98 82.57
473.0 220.98 68.65
505.0 221.57 80.31
536.0 219.91 65.29
537.0 224.42 74.6
568.0 223.28 78.88
569.0 224.75 78.23
570.0 224.99 68.53
634.0 226.98 67.98
761.0 218.35 77.66
792.0 218.76 73.17
793.0 224.53 75.91
794.0 225.76 71.47
824.0 221.84 74.7
825.0 224.11 74.91
826.0 218.88 77.76
858.0 221.98 77.4
888.0 231.04 68.03
890.0 224.43 73.79
1017.0 217.24 58.2
1048.0 219.49 76.35
1049.0 219.02 75.01
1050.0 203.59 71.13
1080.0 222.77 65.31
1081.0 220.25 78.07
1082.0 215.75 76.63
1112.0 230.86 54.6
1144.0 228.81 70.24
1304.0 218.77 73.85
