# ACT PA5 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 90 GHz response
#col2: 90 GHz error on response from bootstrap
1.090000000000000080e+00 -1.231995899999999892e+03 9.162489999999999668e+01
2.189999999999999947e+00 -5.208749999999999858e+01 4.185510000000000019e+01
3.290000000000000036e+00 2.366111999999999966e+02 4.934689999999999799e+01
4.389999999999999680e+00 1.688101000000000056e+02 2.833549999999999969e+01
5.490000000000000213e+00 1.021192999999999955e+02 1.834570000000000078e+01
6.589999999999999858e+00 6.804000000000000625e+01 1.197250000000000014e+01
7.690000000000000391e+00 3.607480000000000331e+01 6.475200000000000067e+00
8.779999999999999361e+00 2.414740000000000109e+01 5.406699999999999839e+00
9.880000000000000782e+00 1.994810000000000016e+01 3.786300000000000221e+00
1.098000000000000043e+01 1.454110000000000014e+01 3.172200000000000131e+00
1.208000000000000007e+01 8.881600000000000605e+00 2.338200000000000056e+00
1.317999999999999972e+01 5.475999999999999979e+00 1.638200000000000101e+00
1.427999999999999936e+01 4.605800000000000338e+00 1.362200000000000077e+00
1.538000000000000078e+01 3.827199999999999935e+00 1.077199999999999935e+00
1.646999999999999886e+01 3.233200000000000074e+00 9.478999999999999648e-01
1.757000000000000028e+01 3.366899999999999782e+00 8.145999999999999908e-01
1.867000000000000171e+01 2.371799999999999908e+00 8.863999999999999657e-01
1.976999999999999957e+01 1.476099999999999968e+00 7.309999999999999831e-01
2.087000000000000099e+01 1.324100000000000055e+00 6.388000000000000345e-01
2.196999999999999886e+01 1.134700000000000042e+00 5.026000000000000467e-01
2.307000000000000028e+01 9.212000000000000188e-01 4.351999999999999758e-01
2.416000000000000014e+01 5.542000000000000259e-01 3.612000000000000210e-01
2.526000000000000156e+01 5.056000000000000494e-01 3.412999999999999923e-01
2.635999999999999943e+01 3.961999999999999966e-01 3.422000000000000042e-01
2.746000000000000085e+01 2.579000000000000181e-01 3.180000000000000049e-01
2.855999999999999872e+01 2.868999999999999884e-01 2.705000000000000182e-01
2.966000000000000014e+01 3.637000000000000233e-01 2.499000000000000110e-01
3.076000000000000156e+01 2.827999999999999958e-01 2.281999999999999862e-01
3.185000000000000142e+01 1.479999999999999927e-01 1.947000000000000119e-01
3.295000000000000284e+01 1.217000000000000026e-01 1.706000000000000016e-01
3.404999999999999716e+01 1.942000000000000115e-01 1.428999999999999992e-01
3.514999999999999858e+01 1.024000000000000049e-01 1.429999999999999882e-01
3.625000000000000000e+01 7.380000000000000449e-02 1.542000000000000037e-01
3.735000000000000142e+01 2.649999999999999925e-02 1.370000000000000107e-01
3.845000000000000284e+01 1.830000000000000029e-02 1.241000000000000020e-01
3.953999999999999915e+01 1.464999999999999913e-01 1.168000000000000010e-01
4.064000000000000057e+01 1.016999999999999987e-01 1.275000000000000022e-01
4.174000000000000199e+01 8.480000000000000038e-02 1.115000000000000019e-01
4.284000000000000341e+01 4.540000000000000285e-02 1.097999999999999948e-01
4.393999999999999773e+01 5.599999999999999943e-03 9.220000000000000417e-02
4.503999999999999915e+01 6.499999999999999702e-03 8.100000000000000255e-02
4.614000000000000057e+01 5.009999999999999870e-02 9.059999999999999998e-02
4.722999999999999687e+01 2.709999999999999909e-02 7.539999999999999480e-02
4.832999999999999829e+01 3.440000000000000002e-02 8.029999999999999638e-02
4.942999999999999972e+01 7.099999999999999367e-02 7.900000000000000078e-02
5.053000000000000114e+01 7.099999999999999367e-02 7.220000000000000029e-02
5.163000000000000256e+01 -5.799999999999999600e-03 5.990000000000000185e-02
5.272999999999999687e+01 -3.919999999999999873e-02 5.899999999999999689e-02
5.382999999999999829e+01 -3.370000000000000079e-02 5.750000000000000250e-02
5.492000000000000171e+01 3.470000000000000168e-02 6.110000000000000153e-02
5.602000000000000313e+01 4.320000000000000229e-02 5.109999999999999959e-02
5.711999999999999744e+01 2.460000000000000034e-02 5.330000000000000016e-02
5.821999999999999886e+01 7.799999999999999642e-03 5.020000000000000157e-02
5.932000000000000028e+01 2.350000000000000006e-02 4.800000000000000100e-02
6.042000000000000171e+01 5.519999999999999907e-02 4.700000000000000011e-02
6.152000000000000313e+01 2.999999999999999737e-04 4.200000000000000261e-02
6.260999999999999943e+01 1.799999999999999864e-02 4.399999999999999745e-02
6.371000000000000085e+01 3.760000000000000148e-02 4.200000000000000261e-02
6.481000000000000227e+01 4.610000000000000209e-02 4.279999999999999777e-02
6.590999999999999659e+01 -1.930000000000000118e-02 3.559999999999999970e-02
6.701000000000000512e+01 -3.359999999999999792e-02 3.579999999999999849e-02
6.810999999999999943e+01 -9.599999999999999159e-03 3.289999999999999869e-02
6.920999999999999375e+01 -1.170000000000000033e-02 3.350000000000000200e-02
7.031000000000000227e+01 -2.630000000000000046e-02 3.099999999999999978e-02
7.140000000000000568e+01 -5.400000000000000286e-03 3.269999999999999990e-02
7.250000000000000000e+01 1.110000000000000049e-02 3.359999999999999792e-02
7.359999999999999432e+01 -1.230000000000000017e-02 3.160000000000000309e-02
7.470000000000000284e+01 1.600000000000000033e-02 3.130000000000000143e-02
7.579999999999999716e+01 1.609999999999999973e-02 3.250000000000000111e-02
7.690000000000000568e+01 2.759999999999999953e-02 2.869999999999999982e-02
7.800000000000000000e+01 1.799999999999999864e-02 2.840000000000000163e-02
7.909000000000000341e+01 7.539999999999999480e-02 3.289999999999999869e-02
8.018999999999999773e+01 1.882000000000000062e-01 3.640000000000000180e-02
8.129000000000000625e+01 2.630000000000000115e-01 3.749999999999999861e-02
8.239000000000000057e+01 2.733999999999999764e-01 3.470000000000000168e-02
8.348999999999999488e+01 2.388000000000000123e-01 3.200000000000000067e-02
8.459000000000000341e+01 2.669000000000000261e-01 2.989999999999999949e-02
8.568999999999999773e+01 3.079999999999999960e-01 3.400000000000000244e-02
8.678000000000000114e+01 3.264000000000000234e-01 3.450000000000000289e-02
8.787999999999999545e+01 3.916999999999999926e-01 3.950000000000000039e-02
8.898000000000000398e+01 4.964000000000000079e-01 4.229999999999999732e-02
9.007999999999999829e+01 5.594999999999999973e-01 4.009999999999999676e-02
9.118000000000000682e+01 5.950999999999999623e-01 4.009999999999999676e-02
9.228000000000000114e+01 6.481000000000000094e-01 3.760000000000000148e-02
9.337999999999999545e+01 7.183000000000000496e-01 3.710000000000000103e-02
9.446999999999999886e+01 8.012000000000000233e-01 3.719999999999999696e-02
9.556999999999999318e+01 8.528999999999999915e-01 3.710000000000000103e-02
9.667000000000000171e+01 8.867000000000000437e-01 3.559999999999999970e-02
9.776999999999999602e+01 9.312000000000000277e-01 3.450000000000000289e-02
9.887000000000000455e+01 9.805000000000000382e-01 3.370000000000000079e-02
9.996999999999999886e+01 1.000000000000000000e+00 3.420000000000000123e-02
1.010699999999999932e+02 9.671999999999999487e-01 3.189999999999999780e-02
1.021599999999999966e+02 9.183000000000000052e-01 3.230000000000000232e-02
1.032600000000000051e+02 8.544000000000000483e-01 3.200000000000000067e-02
1.043599999999999994e+02 7.971000000000000307e-01 3.070000000000000159e-02
1.054599999999999937e+02 7.329999999999999849e-01 3.330000000000000321e-02
1.065600000000000023e+02 6.280000000000000027e-01 3.590000000000000135e-02
1.076599999999999966e+02 4.850999999999999757e-01 3.620000000000000301e-02
1.087600000000000051e+02 3.074000000000000066e-01 3.230000000000000232e-02
1.098499999999999943e+02 1.721999999999999920e-01 2.529999999999999957e-02
1.109500000000000028e+02 9.690000000000000002e-02 1.919999999999999832e-02
1.120499999999999972e+02 3.640000000000000180e-02 1.510000000000000057e-02
1.131500000000000057e+02 -2.000000000000000096e-04 1.299999999999999940e-02
1.142500000000000000e+02 2.899999999999999800e-03 1.250000000000000069e-02
1.153499999999999943e+02 -1.200000000000000025e-02 1.159999999999999920e-02
1.164500000000000028e+02 -5.199999999999999761e-03 1.080000000000000057e-02
1.175400000000000063e+02 -5.100000000000000366e-03 1.129999999999999928e-02
1.186400000000000006e+02 -6.499999999999999702e-03 1.089999999999999997e-02
1.197399999999999949e+02 -9.900000000000000813e-03 1.159999999999999920e-02
1.208400000000000034e+02 -2.999999999999999737e-04 1.039999999999999952e-02
1.219399999999999977e+02 -6.100000000000000387e-03 9.299999999999999239e-03
1.230400000000000063e+02 -6.599999999999999964e-03 1.000000000000000021e-02
1.241400000000000006e+02 -3.700000000000000164e-03 1.099999999999999936e-02
1.252300000000000040e+02 -6.100000000000000387e-03 1.110000000000000049e-02
1.263299999999999983e+02 -6.700000000000000226e-03 1.089999999999999997e-02
1.274300000000000068e+02 -8.699999999999999400e-03 9.400000000000000369e-03
1.285300000000000011e+02 -1.590000000000000094e-02 8.500000000000000611e-03
1.296299999999999955e+02 -1.629999999999999852e-02 8.399999999999999481e-03
1.307299999999999898e+02 -1.820000000000000090e-02 7.300000000000000065e-03
1.318300000000000125e+02 -1.129999999999999928e-02 8.699999999999999400e-03
1.329300000000000068e+02 -6.199999999999999782e-03 1.000000000000000021e-02
1.340200000000000102e+02 8.000000000000000383e-04 9.400000000000000369e-03
1.351200000000000045e+02 -2.299999999999999961e-03 8.999999999999999320e-03
1.362199999999999989e+02 -7.599999999999999985e-03 8.399999999999999481e-03
1.373199999999999932e+02 -7.199999999999999803e-03 7.499999999999999722e-03
1.384199999999999875e+02 -9.799999999999999684e-03 7.599999999999999985e-03
1.395200000000000102e+02 -9.199999999999999845e-03 7.100000000000000408e-03
1.406200000000000045e+02 -5.100000000000000366e-03 8.000000000000000167e-03
1.417100000000000080e+02 -2.799999999999999972e-03 7.599999999999999985e-03
1.428100000000000023e+02 -1.060000000000000005e-02 7.599999999999999985e-03
1.439099999999999966e+02 -1.179999999999999973e-02 6.799999999999999621e-03
1.450099999999999909e+02 -3.399999999999999811e-03 7.400000000000000328e-03
1.461100000000000136e+02 -2.899999999999999800e-03 7.499999999999999722e-03
1.472100000000000080e+02 -6.400000000000000307e-03 7.300000000000000065e-03
1.483100000000000023e+02 -5.000000000000000104e-03 6.499999999999999702e-03
1.494000000000000057e+02 -8.399999999999999481e-03 6.499999999999999702e-03
1.505000000000000000e+02 -8.800000000000000530e-03 6.400000000000000307e-03
1.515999999999999943e+02 -5.300000000000000024e-03 6.599999999999999964e-03
1.526999999999999886e+02 0.000000000000000000e+00 7.300000000000000065e-03
1.538000000000000114e+02 4.199999999999999740e-03 7.599999999999999985e-03
1.549000000000000057e+02 -2.000000000000000042e-03 6.100000000000000387e-03
1.560000000000000000e+02 -7.199999999999999803e-03 6.899999999999999883e-03
1.570900000000000034e+02 -5.499999999999999681e-03 6.799999999999999621e-03
1.581899999999999977e+02 5.499999999999999681e-03 6.899999999999999883e-03
1.592899999999999920e+02 -1.000000000000000048e-04 6.799999999999999621e-03
1.603899999999999864e+02 -2.099999999999999870e-03 6.000000000000000125e-03
1.614900000000000091e+02 -3.000000000000000062e-03 5.700000000000000205e-03
1.625900000000000034e+02 2.099999999999999870e-03 7.000000000000000146e-03
1.636899999999999977e+02 2.500000000000000052e-03 6.899999999999999883e-03
1.647800000000000011e+02 2.299999999999999961e-03 6.799999999999999621e-03
1.658799999999999955e+02 -1.500000000000000031e-03 6.000000000000000125e-03
1.669799999999999898e+02 -2.599999999999999881e-03 5.899999999999999863e-03
1.680800000000000125e+02 -6.899999999999999883e-03 4.899999999999999842e-03
1.691800000000000068e+02 -2.500000000000000052e-03 5.799999999999999600e-03
1.702800000000000011e+02 -8.600000000000000006e-03 5.400000000000000286e-03
1.713799999999999955e+02 -5.700000000000000205e-03 5.400000000000000286e-03
1.724699999999999989e+02 -3.399999999999999811e-03 5.400000000000000286e-03
1.735699999999999932e+02 -2.599999999999999881e-03 5.199999999999999761e-03
1.746699999999999875e+02 -4.799999999999999580e-03 4.599999999999999922e-03
1.757700000000000102e+02 -6.199999999999999782e-03 5.199999999999999761e-03
1.768700000000000045e+02 -3.399999999999999811e-03 4.700000000000000185e-03
1.779699999999999989e+02 -3.099999999999999891e-03 4.799999999999999580e-03
1.790699999999999932e+02 6.999999999999999929e-04 4.700000000000000185e-03
1.801599999999999966e+02 2.099999999999999870e-03 4.599999999999999922e-03
1.812599999999999909e+02 1.000000000000000021e-03 5.000000000000000104e-03
1.823600000000000136e+02 -1.000000000000000021e-03 4.499999999999999660e-03
1.834600000000000080e+02 1.199999999999999895e-03 4.700000000000000185e-03
1.845600000000000023e+02 2.899999999999999800e-03 5.300000000000000024e-03
1.856599999999999966e+02 5.999999999999999474e-04 4.799999999999999580e-03
1.867599999999999909e+02 4.400000000000000265e-03 4.899999999999999842e-03
1.878499999999999943e+02 5.499999999999999681e-03 4.700000000000000185e-03
1.889499999999999886e+02 3.899999999999999821e-03 4.899999999999999842e-03
