# ACT PA1 Bandpass Data — from Rahul Datta (average over 18 individual detector bandpasses measured for PA1)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
1.134899999999999949e+02 3.661799999999999777e-02 4.346400000000000263e-02
1.139899999999999949e+02 6.010000000000000064e-02 5.152999999999999942e-02
1.144899999999999949e+02 6.162700000000000122e-02 6.806399999999999950e-02
1.149899999999999949e+02 4.053099999999999759e-02 6.139200000000000212e-02
1.154899999999999949e+02 3.858799999999999904e-03 3.588500000000000023e-02
1.159899999999999949e+02 -9.500299999999999717e-03 5.993899999999999922e-02
1.164899999999999949e+02 2.542600000000000068e-02 2.794299999999999909e-02
1.169899999999999949e+02 5.413500000000000256e-02 7.853899999999999770e-02
1.174899999999999949e+02 3.573699999999999793e-02 4.652699999999999891e-02
1.179899999999999949e+02 2.872800000000000006e-02 3.473699999999999705e-02
1.184899999999999949e+02 3.408900000000000124e-02 6.320699999999999930e-02
1.189899999999999949e+02 7.044699999999999573e-02 6.471799999999999775e-02
1.194899999999999949e+02 1.093200000000000005e-01 9.285000000000000198e-02
1.199899999999999949e+02 1.386699999999999877e-01 1.279599999999999904e-01
1.204899999999999949e+02 1.909200000000000064e-01 1.842600000000000071e-01
1.209899999999999949e+02 2.404699999999999893e-01 1.967099999999999960e-01
1.214899999999999949e+02 2.605600000000000138e-01 1.715800000000000103e-01
1.219899999999999949e+02 2.622800000000000131e-01 1.440800000000000136e-01
1.224899999999999949e+02 2.868800000000000239e-01 1.230500000000000066e-01
1.229899999999999949e+02 3.376100000000000212e-01 1.197700000000000015e-01
1.234899999999999949e+02 3.684700000000000197e-01 1.072599999999999942e-01
1.239899999999999949e+02 4.017100000000000115e-01 8.970799999999999608e-02
1.244899999999999949e+02 4.936699999999999977e-01 1.037700000000000011e-01
1.249899999999999949e+02 5.587999999999999634e-01 1.348199999999999954e-01
1.254899999999999949e+02 5.245400000000000063e-01 1.183700000000000030e-01
1.259899999999999949e+02 5.011299999999999644e-01 6.960800000000000320e-02
1.264899999999999949e+02 5.652399999999999647e-01 6.257100000000000162e-02
1.269899999999999949e+02 5.984099999999999975e-01 7.922899999999999388e-02
1.274899999999999949e+02 5.245800000000000463e-01 8.069800000000000584e-02
1.279899999999999949e+02 4.714099999999999957e-01 7.051300000000000623e-02
1.284900000000000091e+02 5.028099999999999792e-01 6.710000000000000686e-02
1.289900000000000091e+02 5.322299999999999809e-01 6.063899999999999846e-02
1.294900000000000091e+02 5.171200000000000241e-01 5.777499999999999997e-02
1.299900000000000091e+02 5.275199999999999889e-01 8.160799999999999998e-02
