# ACT PA2 Bandpass Data — from Rahul Datta (average over 75 individual detector bandpasses measured for PA2)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)	fnu	fnu_err	
9.9990e+01 2.9982e-02 6.1073e-02
1.0049e+02 3.6003e-02 4.8449e-02
1.0099e+02 4.9345e-02 6.4624e-02
1.0149e+02 4.1114e-02 6.5916e-02
1.0199e+02 2.6135e-02 5.9632e-02
1.0249e+02 2.9253e-02 4.8264e-02
1.0299e+02 3.5362e-02 6.8558e-02
1.0349e+02 3.5415e-02 5.9897e-02
1.0399e+02 2.8652e-02 4.7634e-02
1.0449e+02 3.2155e-02 5.7470e-02
1.0499e+02 3.7926e-02 6.2293e-02
1.0549e+02 4.2545e-02 6.4633e-02
1.0599e+02 3.1453e-02 6.4165e-02
1.0649e+02 2.4421e-02 5.0633e-02
1.0699e+02 2.9208e-02 6.0534e-02
1.0749e+02 4.3536e-02 6.6033e-02
1.0799e+02 3.6669e-02 4.5871e-02
1.0849e+02 2.8098e-02 5.2399e-02
1.0899e+02 2.0438e-02 4.4764e-02
1.0949e+02 8.0448e-03 3.7089e-02
1.0999e+02 2.2098e-02 3.8190e-02
1.1049e+02 2.4502e-02 4.4140e-02
1.1099e+02 2.6008e-02 5.4149e-02
1.1149e+02 2.9019e-02 4.6113e-02
1.1199e+02 2.0263e-02 3.6183e-02
1.1249e+02 2.4617e-02 3.9560e-02
1.1299e+02 3.2170e-02 4.8772e-02
1.1349e+02 3.2299e-02 5.1318e-02
1.1399e+02 3.5906e-02 4.6148e-02
1.1449e+02 2.8436e-02 4.9483e-02
1.1499e+02 1.9423e-02 4.2273e-02
1.1549e+02 2.7959e-02 3.0564e-02
1.1599e+02 2.4777e-02 3.5649e-02
1.1649e+02 2.1237e-02 3.4589e-02
1.1699e+02 2.2097e-02 3.8172e-02
1.1749e+02 1.9066e-02 3.6823e-02
1.1799e+02 2.3374e-02 4.0273e-02
1.1849e+02 3.7894e-02 4.8668e-02
1.1899e+02 5.7541e-02 6.7542e-02
1.1949e+02 7.4588e-02 8.1751e-02
1.1999e+02 9.3850e-02 9.4270e-02
1.2049e+02 1.4521e-01 1.3066e-01
1.2099e+02 1.8807e-01 1.4683e-01
1.2149e+02 1.9825e-01 1.3553e-01
1.2199e+02 2.1992e-01 1.2323e-01
1.2249e+02 2.6826e-01 1.2459e-01
1.2299e+02 3.2232e-01 1.2484e-01
1.2349e+02 3.3499e-01 1.1106e-01
1.2399e+02 3.4828e-01 9.2814e-02
1.2449e+02 4.3941e-01 9.9585e-02
1.2499e+02 5.2477e-01 1.0718e-01
1.2549e+02 5.1505e-01 9.0311e-02
1.2599e+02 5.1304e-01 8.1951e-02
1.2649e+02 5.7613e-01 8.8067e-02
1.2699e+02 5.9022e-01 8.0978e-02
