# ACT PA3 150 GHz Bandpass Data — from Rahul Datta (average over 28 individual detector bandpasses measured for PA3 150 GHz)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)	fnu	fnu_err	
9.9990e+01 5.4385e-02 9.1031e-02
1.0049e+02 4.3478e-02 5.8490e-02
1.0099e+02 3.4478e-02 6.7666e-02
1.0149e+02 7.7433e-03 7.6699e-02
1.0199e+02 3.6910e-02 4.9981e-02
1.0249e+02 7.0938e-02 1.0223e-01
1.0299e+02 6.9288e-02 8.9776e-02
1.0349e+02 6.1053e-02 5.4056e-02
1.0399e+02 7.2938e-02 7.0831e-02
1.0449e+02 7.1654e-02 7.5481e-02
1.0499e+02 4.7794e-02 9.1217e-02
1.0549e+02 5.5860e-02 9.5064e-02
1.0599e+02 3.3650e-02 6.0734e-02
1.0649e+02 6.8667e-03 6.3754e-02
1.0699e+02 5.1100e-02 4.0280e-02
1.0749e+02 7.0244e-02 8.4082e-02
1.0799e+02 4.4622e-02 5.5606e-02
1.0849e+02 3.6819e-02 3.5719e-02
1.0899e+02 2.8398e-02 4.0789e-02
1.0949e+02 1.2439e-02 3.8320e-02
1.0999e+02 1.0533e-02 4.9461e-02
1.1049e+02 3.7901e-02 5.5008e-02
1.1099e+02 4.5176e-02 4.6458e-02
1.1149e+02 2.9990e-02 3.7415e-02
1.1199e+02 4.1625e-02 4.7179e-02
1.1249e+02 4.5614e-02 6.9140e-02
1.1299e+02 4.3757e-02 5.9593e-02
1.1349e+02 4.8308e-02 4.0027e-02
1.1399e+02 2.3257e-02 5.6459e-02
1.1449e+02 2.2464e-02 5.1795e-02
1.1499e+02 5.4018e-02 7.9564e-02
1.1549e+02 6.8337e-02 8.0245e-02
1.1599e+02 4.6322e-02 5.7997e-02
1.1649e+02 5.1797e-02 6.4628e-02
1.1699e+02 6.4709e-02 7.7715e-02
1.1749e+02 2.8454e-02 4.6578e-02
1.1799e+02 1.3950e-02 4.3947e-02
1.1849e+02 3.7432e-02 4.3356e-02
1.1899e+02 5.3426e-02 6.2812e-02
1.1949e+02 4.6504e-02 4.6055e-02
1.1999e+02 4.9390e-02 4.4014e-02
1.2049e+02 3.9564e-02 5.3542e-02
1.2099e+02 3.1449e-02 4.9936e-02
1.2149e+02 3.2334e-02 4.6734e-02
1.2199e+02 5.3342e-02 5.6932e-02
1.2249e+02 6.4389e-02 5.9422e-02
1.2299e+02 4.8820e-02 4.3237e-02
1.2349e+02 5.7863e-02 5.6229e-02
1.2399e+02 9.9588e-02 7.9914e-02
1.2449e+02 1.3801e-01 1.0322e-01
1.2499e+02 1.6272e-01 1.0220e-01
1.2549e+02 1.7591e-01 1.2059e-01
1.2599e+02 1.8765e-01 1.2529e-01
1.2649e+02 2.3788e-01 1.2066e-01
1.2699e+02 2.9419e-01 1.3431e-01
1.2749e+02 3.0519e-01 1.4393e-01
1.2799e+02 3.2309e-01 1.1663e-01
1.2849e+02 3.9482e-01 1.2936e-01
1.2899e+02 4.4902e-01 1.4818e-01
1.2949e+02 4.4670e-01 1.4041e-01
1.2999e+02 4.7852e-01 1.2090e-01
1.3049e+02 5.7760e-01 1.3359e-01
1.3099e+02 6.3882e-01 1.5005e-01
1.3149e+02 6.2304e-01 1.1733e-01
1.3199e+02 6.5068e-01 9.8664e-02
