# ACT PA3 90 GHz Bandpass Data — from Rahul Datta (average over 17 individual detector bandpasses measured for PA3 90 GHz)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 90 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
6.598999999999999488e+01 4.128400000000000125e-02 7.166200000000000347e-02
6.648999999999999488e+01 8.085399999999999532e-02 1.237700000000000050e-01
6.698999999999999488e+01 9.297500000000000209e-02 1.074800000000000061e-01
6.748999999999999488e+01 5.679800000000000126e-02 4.444499999999999840e-02
6.798999999999999488e+01 1.781800000000000050e-02 5.314399999999999680e-02
6.848999999999999488e+01 2.637700000000000114e-02 5.219200000000000228e-02
6.898999999999999488e+01 4.099499999999999672e-02 5.515699999999999770e-02
6.948999999999999488e+01 5.519000000000000294e-02 7.756699999999999706e-02
6.998999999999999488e+01 6.645600000000000118e-02 7.396099999999999897e-02
7.048999999999999488e+01 3.837200000000000333e-02 8.587400000000000588e-02
7.098999999999999488e+01 6.529999999999999694e-02 6.991400000000000392e-02
7.148999999999999488e+01 9.020200000000000440e-02 6.269399999999999973e-02
7.198999999999999488e+01 9.656199999999999506e-02 6.124899999999999789e-02
7.248999999999999488e+01 1.252699999999999925e-01 4.423099999999999948e-02
7.298999999999999488e+01 1.422200000000000131e-01 4.154399999999999760e-02
7.348999999999999488e+01 1.539899999999999880e-01 8.096599999999999631e-02
7.398999999999999488e+01 1.723800000000000054e-01 5.920500000000000068e-02
7.448999999999999488e+01 1.741000000000000048e-01 4.432799999999999935e-02
7.498999999999999488e+01 1.887900000000000134e-01 6.244199999999999751e-02
7.548999999999999488e+01 2.528199999999999892e-01 1.052899999999999947e-01
7.598999999999999488e+01 2.922399999999999998e-01 1.088599999999999984e-01
7.648999999999999488e+01 2.712399999999999811e-01 8.517199999999999771e-02
7.698999999999999488e+01 2.947799999999999865e-01 7.832600000000000673e-02
7.748999999999999488e+01 3.522700000000000276e-01 8.255999999999999450e-02
7.798999999999999488e+01 3.786700000000000066e-01 9.642199999999999382e-02
7.848999999999999488e+01 3.545599999999999863e-01 8.280500000000000360e-02
7.898999999999999488e+01 3.702699999999999880e-01 7.133200000000000651e-02
7.948999999999999488e+01 4.387199999999999989e-01 6.747400000000000619e-02
