# ACT PA5 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#150 GHz bandwidht / band center table
#col0: channel
#col1: band center
#col2: band width
711.0 146.78 31.13
743.0 144.62 33.73
1127.0 147.13 34.72
1317.0 148.91 32.41
1511.0 146.09 32.58
1542.0 146.06 34.96
1543.0 144.31 34.56
74.0 152.43 37.28
106.0 159.49 31.68
107.0 149.78 38.76
140.0 201.56 0.0
330.0 148.94 27.17
331.0 148.21 32.34
332.0 149.96 38.02
362.0 150.37 30.85
363.0 148.92 32.49
364.0 152.38 28.72
523.0 150.77 29.23
586.0 148.03 32.98
588.0 150.16 35.72
618.0 147.23 28.7
619.0 146.18 33.9
779.0 149.96 25.28
811.0 148.68 29.94
843.0 147.43 29.85
844.0 147.59 33.72
1130.0 145.88 32.91
74.0 152.36 38.84
107.0 149.55 38.51
330.0 149.86 37.91
331.0 147.6 37.77
332.0 149.8 38.12
362.0 148.99 38.75
363.0 148.24 35.69
364.0 151.91 36.55
523.0 149.95 36.91
586.0 147.95 37.7
588.0 150.06 36.33
618.0 148.08 33.74
619.0 146.62 37.31
620.0 148.88 37.93
651.0 147.86 30.83
652.0 149.38 37.46
779.0 150.43 32.25
811.0 148.62 35.96
843.0 144.85 30.11
844.0 147.71 37.49
1130.0 145.15 28.78
206.0 145.9 33.5
718.0 150.64 37.54
750.0 147.66 27.58
1317.0 147.23 39.46
1348.0 149.09 39.41
1349.0 149.95 34.08
1380.0 145.58 37.46
1381.0 146.21 33.78
1383.0 149.33 36.13
1412.0 145.94 37.72
1414.0 147.3 35.52
1415.0 147.7 38.18
1478.0 149.19 38.43
1637.0 148.79 39.91
1669.0 151.27 38.15
1700.0 148.13 39.87
1701.0 146.47 38.96
1732.0 151.16 36.55
1733.0 147.43 38.34
1735.0 146.65 36.35
60.0 145.72 36.21
216.0 146.6 37.49
472.0 147.59 36.84
473.0 148.16 31.29
504.0 148.09 37.62
650.0 150.01 35.67
682.0 151.68 37.38
683.0 147.71 36.3
684.0 154.48 28.27
728.0 148.99 36.67
843.0 151.84 35.35
908.0 152.77 37.21
939.0 147.7 35.97
940.0 150.42 38.4
987.0 149.07 31.65
1019.0 146.84 37.4
1051.0 147.79 38.52
1228.0 151.02 38.92
1260.0 148.48 38.69
1292.0 150.79 39.36
1324.0 148.78 32.13
1356.0 146.69 38.26
1388.0 147.72 29.18
987.0 149.45 40.04
1019.0 148.51 39.38
1021.0 151.31 31.75
1051.0 150.12 36.72
1499.0 148.93 35.97
1531.0 149.2 40.36
1563.0 147.99 39.59
1595.0 150.77 38.42
1627.0 148.05 38.98
1659.0 152.14 35.96
1691.0 148.36 38.2
10.0 147.5 37.49
12.0 149.54 34.61
44.0 147.02 36.85
205.0 149.66 36.22
207.0 146.94 40.1
237.0 149.3 37.83
239.0 148.84 37.72
461.0 149.29 37.46
463.0 148.79 39.93
495.0 148.88 40.92
719.0 149.34 30.93
527.0 145.91 36.94
557.0 147.65 34.1
559.0 149.51 25.68
781.0 148.62 38.12
782.0 146.31 38.65
783.0 147.69 34.88
813.0 149.28 35.89
814.0 148.01 33.22
815.0 147.54 39.47
973.0 146.16 38.45
1039.0 146.95 38.09
1102.0 149.17 38.87
1103.0 149.28 41.09
1261.0 148.12 40.87
1263.0 148.0 39.88
1293.0 149.66 38.06
1295.0 147.25 38.58
1326.0 150.31 37.28
1358.0 148.69 40.01
1327.0 146.31 31.46
1710.0 150.48 35.12
88.0 149.76 38.1
89.0 149.43 39.99
90.0 150.83 37.91
120.0 152.18 39.01
123.0 148.36 37.68
125.0 149.1 32.66
156.0 149.71 36.49
188.0 148.56 38.29
189.0 148.39 38.5
344.0 151.42 33.02
347.0 148.49 34.41
379.0 147.95 36.49
381.0 146.87 35.89
444.0 147.37 36.89
635.0 146.5 32.55
636.0 145.88 30.51
152.0 146.43 27.17
601.0 146.74 36.72
793.0 145.82 27.49
856.0 146.77 33.29
881.0 139.4 7.05
922.0 145.09 27.58
1080.0 151.09 27.67
1081.0 148.11 36.73
1144.0 147.61 35.95
1146.0 148.7 34.33
1178.0 147.9 34.94
1336.0 149.05 36.75
1337.0 149.79 36.35
1369.0 149.59 36.91
1400.0 147.64 32.37
1402.0 148.61 37.72
1432.0 147.83 31.81
1434.0 147.18 35.51
1592.0 150.38 36.97
1593.0 149.95 37.74
1594.0 150.24 35.75
1624.0 150.66 36.91
1658.0 150.68 33.44
1690.0 149.57 34.78
103.0 147.21 35.85
134.0 151.11 27.62
145.0 148.59 38.2
166.0 147.43 36.87
167.0 148.7 38.49
208.0 148.51 38.28
209.0 148.57 35.7
240.0 149.19 36.57
272.0 147.41 28.94
487.0 147.46 26.28
529.0 148.22 38.16
550.0 148.11 33.96
561.0 149.61 35.25
592.0 148.51 37.91
593.0 147.08 36.58
912.0 152.38 36.16
913.0 149.6 36.38
976.0 146.19 34.26
1712.0 117.88 2.06
81.0 147.55 39.12
144.0 147.3 37.93
145.0 147.57 38.93
167.0 146.93 35.5
176.0 149.45 37.35
198.0 148.8 38.92
208.0 145.89 35.06
209.0 148.74 26.98
230.0 146.97 36.73
231.0 147.19 37.31
464.0 148.04 38.36
465.0 148.04 39.49
497.0 150.16 37.41
528.0 148.51 36.67
529.0 147.1 34.83
560.0 150.5 17.29
561.0 149.12 37.15
592.0 148.18 28.91
785.0 146.32 24.64
848.0 148.35 38.04
849.0 148.08 38.83
912.0 147.07 37.86
913.0 146.4 35.51
944.0 148.99 35.6
1264.0 155.66 24.08
1265.0 147.53 36.07
1297.0 150.95 25.96
1328.0 147.08 35.62
