# ACT PA5 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 150 GHz error on response from bootstrap
1.090000000000000080e+00 -1.600021999999999935e+03 1.459963999999999942e+02
2.189999999999999947e+00 -9.368210000000000548e+01 5.171439999999999770e+01
3.290000000000000036e+00 2.731419999999999959e+02 6.130590000000000117e+01
4.389999999999999680e+00 2.208860999999999990e+02 4.493460000000000321e+01
5.490000000000000213e+00 1.346727999999999952e+02 2.460259999999999891e+01
6.589999999999999858e+00 8.976300000000000523e+01 1.467309999999999981e+01
7.690000000000000391e+00 5.627689999999999770e+01 1.084040000000000070e+01
8.779999999999999361e+00 4.228470000000000084e+01 9.582300000000000040e+00
9.880000000000000782e+00 3.202089999999999748e+01 6.625799999999999912e+00
1.098000000000000043e+01 2.493929999999999936e+01 4.761999999999999567e+00
1.208000000000000007e+01 1.872860000000000014e+01 3.839199999999999946e+00
1.317999999999999972e+01 1.442900000000000027e+01 2.924999999999999822e+00
1.427999999999999936e+01 9.090700000000000003e+00 2.085300000000000153e+00
1.538000000000000078e+01 7.201299999999999812e+00 1.606700000000000017e+00
1.646999999999999886e+01 5.787899999999999601e+00 1.342000000000000082e+00
1.757000000000000028e+01 4.536100000000000243e+00 1.132900000000000018e+00
1.867000000000000171e+01 4.123199999999999754e+00 8.930000000000000160e-01
1.976999999999999957e+01 3.298099999999999810e+00 7.741999999999999993e-01
2.087000000000000099e+01 2.609100000000000197e+00 6.953000000000000291e-01
2.196999999999999886e+01 2.168600000000000083e+00 6.128000000000000114e-01
2.307000000000000028e+01 1.410400000000000098e+00 4.783999999999999919e-01
2.416000000000000014e+01 1.154199999999999893e+00 4.248000000000000109e-01
2.526000000000000156e+01 1.095900000000000096e+00 4.704999999999999738e-01
2.635999999999999943e+01 7.540000000000000036e-01 3.474999999999999756e-01
2.746000000000000085e+01 4.334000000000000075e-01 2.609000000000000208e-01
2.855999999999999872e+01 3.872999999999999776e-01 2.422999999999999876e-01
2.966000000000000014e+01 6.665999999999999703e-01 2.741000000000000103e-01
3.076000000000000156e+01 6.139000000000000012e-01 2.610000000000000098e-01
3.185000000000000142e+01 2.569000000000000172e-01 1.995000000000000107e-01
3.295000000000000284e+01 9.890000000000000180e-02 1.976999999999999869e-01
3.404999999999999716e+01 2.934999999999999831e-01 1.832999999999999907e-01
3.514999999999999858e+01 3.690999999999999837e-01 1.756000000000000061e-01
3.625000000000000000e+01 2.620999999999999996e-01 1.749999999999999889e-01
3.735000000000000142e+01 1.656999999999999862e-01 1.552000000000000046e-01
3.845000000000000284e+01 1.865999999999999881e-01 1.215999999999999998e-01
3.953999999999999915e+01 1.358999999999999930e-01 1.506000000000000116e-01
4.064000000000000057e+01 1.854999999999999982e-01 1.363000000000000045e-01
4.174000000000000199e+01 2.214000000000000135e-01 1.353999999999999926e-01
4.284000000000000341e+01 1.706000000000000016e-01 1.248999999999999971e-01
4.393999999999999773e+01 1.037000000000000005e-01 1.081000000000000016e-01
4.503999999999999915e+01 4.889999999999999902e-02 9.690000000000000002e-02
4.614000000000000057e+01 1.330999999999999961e-01 9.310000000000000220e-02
4.722999999999999687e+01 5.190000000000000169e-02 8.770000000000000018e-02
4.832999999999999829e+01 4.719999999999999890e-02 7.580000000000000626e-02
4.942999999999999972e+01 1.750000000000000167e-02 8.300000000000000433e-02
5.053000000000000114e+01 5.009999999999999870e-02 8.440000000000000280e-02
5.163000000000000256e+01 3.200000000000000067e-02 7.270000000000000073e-02
5.272999999999999687e+01 2.350000000000000006e-02 6.829999999999999960e-02
5.382999999999999829e+01 3.259999999999999704e-02 7.789999999999999702e-02
5.492000000000000171e+01 -2.099999999999999870e-03 5.909999999999999976e-02
5.602000000000000313e+01 -1.199999999999999895e-03 5.380000000000000060e-02
5.711999999999999744e+01 -1.310000000000000053e-02 4.909999999999999781e-02
5.821999999999999886e+01 3.070000000000000159e-02 5.249999999999999806e-02
5.932000000000000028e+01 7.710000000000000187e-02 5.190000000000000169e-02
6.042000000000000171e+01 4.299999999999999656e-02 4.780000000000000221e-02
6.152000000000000313e+01 4.519999999999999712e-02 4.710000000000000298e-02
6.260999999999999943e+01 1.089999999999999997e-02 4.719999999999999890e-02
6.371000000000000085e+01 -8.500000000000000611e-03 4.610000000000000209e-02
6.481000000000000227e+01 -1.179999999999999973e-02 4.120000000000000051e-02
6.590999999999999659e+01 8.800000000000000530e-03 3.960000000000000325e-02
6.701000000000000512e+01 1.439999999999999961e-02 4.059999999999999720e-02
6.810999999999999943e+01 2.170000000000000054e-02 4.019999999999999962e-02
6.920999999999999375e+01 1.179999999999999973e-02 3.549999999999999684e-02
7.031000000000000227e+01 -5.100000000000000366e-03 3.919999999999999873e-02
7.140000000000000568e+01 1.640000000000000138e-02 3.570000000000000256e-02
7.250000000000000000e+01 5.260000000000000092e-02 3.459999999999999881e-02
7.359999999999999432e+01 1.230000000000000017e-02 3.400000000000000244e-02
7.470000000000000284e+01 -3.000000000000000062e-03 3.039999999999999994e-02
7.579999999999999716e+01 1.349999999999999985e-02 3.059999999999999873e-02
7.690000000000000568e+01 -1.890000000000000013e-02 2.960000000000000131e-02
7.800000000000000000e+01 -4.019999999999999962e-02 2.529999999999999957e-02
7.909000000000000341e+01 -6.799999999999999621e-03 3.030000000000000054e-02
8.018999999999999773e+01 -2.069999999999999965e-02 2.989999999999999949e-02
8.129000000000000625e+01 -3.440000000000000002e-02 3.059999999999999873e-02
8.239000000000000057e+01 -1.729999999999999941e-02 2.670000000000000151e-02
8.348999999999999488e+01 -4.789999999999999813e-02 2.280000000000000082e-02
8.459000000000000341e+01 -3.200000000000000067e-02 2.290000000000000022e-02
8.568999999999999773e+01 -3.590000000000000135e-02 2.210000000000000159e-02
8.678000000000000114e+01 -1.209999999999999964e-02 2.400000000000000050e-02
8.787999999999999545e+01 -5.799999999999999600e-03 2.309999999999999901e-02
