# ACT PA6 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#150 GHz bandwidth / band center table
#col0: channel
#col1: band center
#col2: band width
344.0 168.66 11.19
525.0 144.95 26.15
590.0 145.37 37.86
622.0 144.64 34.95
781.0 146.11 40.52
783.0 146.68 38.74
813.0 146.71 40.67
846.0 145.51 39.57
847.0 139.59 28.66
878.0 146.8 34.08
1069.0 145.29 39.98
1070.0 147.17 42.59
1071.0 146.54 39.75
1101.0 145.27 39.44
1102.0 147.57 42.22
1103.0 146.92 37.9
1261.0 146.52 42.16
1326.0 147.47 42.31
1327.0 146.32 40.93
1349.0 147.23 34.19
1358.0 147.24 41.73
1359.0 146.06 39.3
1412.0 149.26 30.7
43.0 146.96 40.44
141.0 148.18 40.12
206.0 147.06 36.49
238.0 147.15 40.86
397.0 148.79 36.42
399.0 148.31 39.73
429.0 149.11 32.77
462.0 146.81 38.4
464.0 145.88 37.16
494.0 150.66 34.11
496.0 145.83 36.14
718.0 147.72 36.53
1317.0 145.65 39.79
1349.0 146.07 39.86
1412.0 145.74 38.89
56.0 148.03 14.64
81.0 145.38 39.35
112.0 145.45 39.87
113.0 145.49 39.26
176.0 145.55 35.58
199.0 146.83 39.78
231.0 147.02 39.4
262.0 146.8 40.75
263.0 146.67 40.6
294.0 147.7 36.8
295.0 146.36 39.97
582.0 148.27 33.51
583.0 148.17 41.39
615.0 149.02 38.89
646.0 147.84 41.08
647.0 146.46 37.93
678.0 147.82 40.66
967.0 148.28 40.48
999.0 148.56 36.85
1062.0 150.48 36.08
422.0 140.83 5.1
433.0 147.25 40.34
464.0 148.6 40.14
496.0 148.35 41.26
497.0 148.58 39.14
785.0 147.01 41.61
816.0 146.07 40.63
817.0 146.28 40.99
848.0 148.98 37.38
880.0 146.68 40.87
1200.0 145.74 37.42
1232.0 144.99 37.91
1233.0 145.34 39.78
1264.0 146.18 37.73
1296.0 145.75 39.28
1297.0 143.1 34.13
1584.0 141.18 32.16
1680.0 143.21 36.56
1331.0 144.25 37.98
70.0 147.94 40.72
71.0 146.62 38.36
103.0 147.59 38.54
134.0 146.78 39.19
209.0 145.83 35.52
241.0 145.23 35.91
272.0 146.43 36.49
273.0 148.13 37.58
304.0 145.49 37.59
305.0 147.21 33.86
391.0 147.54 34.19
454.0 148.82 40.15
455.0 148.53 40.32
486.0 151.17 41.19
518.0 149.47 34.05
550.0 150.23 32.62
775.0 144.47 26.71
838.0 150.85 38.64
555.0 149.06 37.98
625.0 145.33 31.51
779.0 148.48 39.5
811.0 148.23 39.42
876.0 148.93 39.92
1008.0 146.26 32.43
1098.0 148.34 40.16
1164.0 145.19 31.7
1477.0 147.22 37.47
1508.0 149.19 38.33
1540.0 146.74 39.56
1574.0 145.98 36.85
1575.0 145.99 38.54
1607.0 146.21 39.08
1638.0 145.76 39.14
1670.0 146.09 27.51
13.0 147.01 41.11
15.0 147.69 41.42
45.0 147.62 36.7
47.0 148.23 41.15
78.0 146.02 39.87
110.0 146.29 39.19
138.0 144.95 37.45
139.0 147.17 34.73
170.0 145.07 38.93
171.0 145.94 40.18
203.0 145.88 37.29
204.0 147.1 39.77
234.0 147.59 39.44
236.0 146.71 40.46
269.0 146.6 35.19
271.0 147.69 37.7
395.0 146.4 39.74
426.0 145.3 39.24
427.0 145.86 39.69
492.0 146.79 39.18
1540.0 147.24 37.22
1638.0 146.29 35.69
12.0 146.68 40.61
14.0 144.7 38.44
44.0 145.41 39.19
205.0 145.46 40.35
207.0 145.76 40.69
237.0 149.58 30.37
239.0 146.63 41.01
270.0 144.47 38.08
271.0 147.04 29.32
302.0 144.68 36.38
461.0 145.16 40.1
463.0 146.23 41.65
493.0 145.76 39.53
495.0 148.68 40.87
558.0 147.75 38.53
719.0 148.29 36.84
751.0 146.49 39.13
220.0 144.67 37.62
252.0 145.11 30.14
253.0 145.5 36.84
411.0 144.77 38.29
443.0 145.2 35.79
477.0 146.99 39.43
508.0 146.03 39.47
509.0 147.59 38.29
633.0 146.7 36.11
667.0 146.57 37.04
699.0 145.95 40.34
732.0 147.22 41.61
733.0 148.91 30.07
764.0 147.98 41.24
923.0 148.16 39.92
152.0 147.81 38.92
184.0 147.61 39.96
345.0 148.69 40.95
376.0 149.05 43.35
377.0 148.37 37.28
408.0 146.09 39.2
440.0 147.36 38.34
504.0 147.35 39.48
568.0 147.19 39.23
600.0 145.83 34.94
601.0 148.01 37.78
633.0 146.82 39.89
664.0 147.38 39.71
696.0 147.35 39.44
760.0 147.14 39.65
792.0 147.25 39.48
857.0 145.62 36.93
920.0 147.38 39.98
952.0 147.44 40.1
1016.0 147.34 39.39
1080.0 147.39 39.58
1144.0 147.59 40.13
1176.0 148.12 40.44
1304.0 147.05 38.88
1336.0 147.98 39.82
1400.0 147.23 39.66
1465.0 144.17 29.68
1528.0 147.11 39.65
1688.0 146.99 39.29
