Name,Season,Array,Region,Freq.,FWHM,Noise
,,,,(GHz),(arcmin),($\mu K$-arcmin)
P030,Planck PR2,-,-,30,32.408,195.1
P044,Planck PR2,-,-,44,27.100,226.1
P070,Planck PR2,-,-,70,13.315,199.1
P100,Planck PR2,-,-,100,9.69,77.4
P143,Planck PR2,-,-,143,7.30,33
P217,Planck PR2,-,-,217,5.02,46.8
P353,Planck PR2,-,-,353,4.94,153.6
P545,Planck PR2,-,-,545,4.83,818.2
BOSSN_1_149,ACTPol 2015,PA1,{\tt BOSS-N},149,1.4,66.8
BOSSN_2_149,ACTPol 2015,PA2,{\tt BOSS-N},149,1.4,35.7
BOSSN_3_097,ACTPol 2015,PA3,{\tt BOSS-N},97,2.2,31.9
BOSSN_4_149,ACTPol 2015,PA3,{\tt BOSS-N},149,1.4,47.1
D56_1_149,ACTPol 2014,PA1,{\tt D56},149,1.4,26.6
D56_2_149,ACTPol 2014,PA2,{\tt D56},149,1.4,18.6
D56_3_149,ACTPol 2015,PA1,{\tt D56},149,1.4,26.9
D56_4_149,ACTPol 2015,PA2,{\tt D56},149,1.4,18
D56_5_097,ACTPol 2015,PA3,{\tt D56},97,2.2,17.3
D56_6_149,ACTPol 2015,PA3,{\tt D56},149,1.4,26.9
