# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#150 GHz bandwidth / band center table
#col0: channel
#col1: band center
#col2: band width
33.0 147.09 35.07
65.0 144.0 39.37
96.0 143.95 40.49
97.0 144.34 39.68
128.0 146.78 33.69
129.0 145.86 36.93
160.0 144.44 39.34
161.0 144.57 39.73
223.0 142.8 41.65
286.0 144.75 39.15
287.0 144.51 39.38
318.0 145.46 36.98
319.0 148.68 31.22
350.0 145.08 38.94
351.0 144.38 40.13
382.0 143.84 39.66
383.0 146.21 36.89
414.0 142.09 41.11
449.0 137.91 44.06
480.0 135.28 34.96
481.0 146.01 35.64
512.0 143.27 38.06
513.0 143.17 40.99
544.0 143.6 40.64
545.0 143.52 41.0
608.0 143.35 41.39
671.0 144.99 37.75
734.0 145.09 38.52
735.0 145.33 38.99
766.0 145.79 36.14
767.0 133.02 26.34
798.0 144.98 38.56
799.0 145.56 37.08
830.0 145.14 37.17
831.0 146.19 34.96
897.0 143.19 34.73
928.0 144.2 28.41
992.0 142.73 39.22
1119.0 145.72 37.26
1182.0 146.26 36.67
1214.0 138.35 42.03
1215.0 147.95 31.86
1246.0 146.39 36.66
1278.0 144.02 39.06
1567.0 149.39 29.51
1630.0 146.72 34.51
1631.0 147.28 34.26
33.0 145.81 35.31
65.0 144.48 38.87
96.0 144.09 40.14
97.0 144.57 39.5
128.0 150.53 30.09
129.0 144.66 39.01
160.0 144.61 39.26
161.0 144.75 38.78
223.0 145.2 37.07
286.0 145.44 37.94
287.0 145.17 38.56
318.0 145.01 37.77
319.0 150.84 29.98
350.0 145.04 38.72
382.0 144.54 38.36
383.0 146.51 35.96
414.0 145.38 35.31
449.0 144.01 34.28
480.0 142.48 33.31
513.0 143.66 40.18
544.0 142.97 41.6
545.0 143.09 41.51
608.0 143.67 40.7
671.0 146.36 36.18
734.0 144.87 38.38
735.0 145.2 38.17
766.0 145.15 37.0
798.0 145.0 38.27
799.0 144.99 38.09
830.0 145.47 36.14
831.0 146.89 30.76
897.0 142.58 29.96
928.0 142.07 33.9
992.0 143.4 39.7
993.0 143.59 36.21
1119.0 145.85 37.2
1182.0 146.5 35.93
1215.0 147.78 30.14
1246.0 145.35 37.92
1278.0 144.88 37.52
1567.0 144.43 36.49
1630.0 143.26 40.62
1631.0 145.86 36.07
33.0 144.1 39.47
65.0 144.39 39.01
96.0 144.05 39.97
97.0 144.67 39.13
128.0 147.92 32.26
129.0 145.91 36.46
160.0 144.5 39.59
161.0 144.97 38.6
223.0 145.24 38.02
286.0 145.26 38.0
287.0 145.36 38.14
318.0 144.69 38.95
319.0 146.28 33.79
